,train_frac,model,mean_c
0,0.05,regression_weibull,0.587
1,0.05,deep_weibull,0.523
2,0.05,deep_hit,0.51
3,0.1,regression_weibull,0.624
4,0.1,deep_weibull,0.529
5,0.1,deep_hit,0.531
6,0.15000000000000002,regression_weibull,0.621
7,0.15000000000000002,deep_weibull,0.531
8,0.15000000000000002,deep_hit,0.507
9,0.2,regression_weibull,0.619
10,0.2,deep_weibull,0.539
11,0.2,deep_hit,0.54
12,0.25,regression_weibull,0.629
13,0.25,deep_weibull,0.539
14,0.25,deep_hit,0.529
15,0.3,regression_weibull,0.625
16,0.3,deep_weibull,0.541
17,0.3,deep_hit,0.542
18,0.35000000000000003,regression_weibull,0.621
19,0.35000000000000003,deep_weibull,0.537
20,0.35000000000000003,deep_hit,0.542
21,0.4,regression_weibull,0.628
22,0.4,deep_weibull,0.542
23,0.4,deep_hit,0.546
24,0.45,regression_weibull,0.634
25,0.45,deep_weibull,0.541
26,0.45,deep_hit,0.56
27,0.5,regression_weibull,0.633
28,0.5,deep_weibull,0.55
29,0.5,deep_hit,0.545
30,0.55,regression_weibull,0.634
31,0.55,deep_weibull,0.548
32,0.55,deep_hit,0.562
33,0.6000000000000001,regression_weibull,0.632
34,0.6000000000000001,deep_weibull,0.549
35,0.6000000000000001,deep_hit,0.557
36,0.6500000000000001,regression_weibull,0.634
37,0.6500000000000001,deep_weibull,0.545
38,0.6500000000000001,deep_hit,0.555
